"Dataset: Underlying Cause of Death, 1999-2017",,,,,,,
Query Parameters:,,,,,,,
Drug/Alcohol Induced Causes: Drug poisonings (overdose) Unintentional (X40-X44),,,,,,,
Group By: State; Year; Month,,,,,,,
Notes,State,State Code,Year,Year Code,Month,Month Code,Deaths
,Alabama,1,2011,2011,"Jun., 2011",2011/06,35
,Alabama,1,2011,2011,"Jul., 2011",2011/07,50
,Alabama,1,2011,2011,"Aug., 2011",2011/08,41
,Alabama,1,2011,2011,"Sep., 2011",2011/09,49
,Alabama,1,2011,2011,"Oct., 2011",2011/10,34
,Alabama,1,2011,2011,"Nov., 2011",2011/11,27
,Alabama,1,2011,2011,"Dec., 2011",2011/12,17
,Alabama,1,2012,2012,"Jan., 2012",2012/01,48
,Alabama,1,2012,2012,"Feb., 2012",2012/02,30
,Alabama,1,2012,2012,"Mar., 2012",2012/03,42
,Alabama,1,2012,2012,"Apr., 2012",2012/04,42
,Alabama,1,2012,2012,"May, 2012",2012/05,37
,Alabama,1,2012,2012,"Jun., 2012",2012/06,44
,Alabama,1,2012,2012,"Jul., 2012",2012/07,40
,Alabama,1,2012,2012,"Aug., 2012",2012/08,35
,Alabama,1,2012,2012,"Sep., 2012",2012/09,37
,Alabama,1,2012,2012,"Oct., 2012",2012/10,53
,Alabama,1,2012,2012,"Nov., 2012",2012/11,44
,Alabama,1,2012,2012,"Dec., 2012",2012/12,26
,Alabama,1,2013,2013,"Jan., 2013",2013/01,49
,Alabama,1,2013,2013,"Feb., 2013",2013/02,38
,Alabama,1,2013,2013,"Mar., 2013",2013/03,50
,Alabama,1,2013,2013,"Apr., 2013",2013/04,41
,Alabama,1,2013,2013,"May, 2013",2013/05,38
,Alabama,1,2013,2013,"Jun., 2013",2013/06,45
,Alabama,1,2013,2013,"Jul., 2013",2013/07,39
,Alabama,1,2013,2013,"Aug., 2013",2013/08,45
,Alabama,1,2013,2013,"Sep., 2013",2013/09,50
,Alabama,1,2013,2013,"Oct., 2013",2013/10,46
,Alabama,1,2013,2013,"Nov., 2013",2013/11,39
,Alabama,1,2013,2013,"Dec., 2013",2013/12,40
,Alabama,1,2014,2014,"Jan., 2014",2014/01,53
,Alabama,1,2014,2014,"Feb., 2014",2014/02,43
,Alabama,1,2014,2014,"Mar., 2014",2014/03,65
,Alabama,1,2014,2014,"Apr., 2014",2014/04,60
,Alabama,1,2014,2014,"May, 2014",2014/05,47
,Alabama,1,2014,2014,"Jun., 2014",2014/06,55
,Alabama,1,2014,2014,"Jul., 2014",2014/07,65
,Alabama,1,2014,2014,"Aug., 2014",2014/08,65
,Alabama,1,2014,2014,"Sep., 2014",2014/09,42
,Alabama,1,2014,2014,"Oct., 2014",2014/10,44
,Alabama,1,2014,2014,"Nov., 2014",2014/11,49
,Alabama,1,2014,2014,"Dec., 2014",2014/12,51
,Alabama,1,2015,2015,"Jan., 2015",2015/01,57
,Alabama,1,2015,2015,"Feb., 2015",2015/02,55
,Alabama,1,2015,2015,"Mar., 2015",2015/03,70
,Alabama,1,2015,2015,"Apr., 2015",2015/04,66
,Alabama,1,2015,2015,"May, 2015",2015/05,59
,Alabama,1,2015,2015,"Jun., 2015",2015/06,56
,Alabama,1,2015,2015,"Jul., 2015",2015/07,60
,Alabama,1,2015,2015,"Aug., 2015",2015/08,63
,Alabama,1,2015,2015,"Sep., 2015",2015/09,46
